DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,#1,%1,#2,%2,#3,%3,#4,%4,#5,%5 
01M064,P.S. 064 ROBERT SIMON,3,2014,All Students,43,291,21,48.8,14,32.6,8,18.6,0,0,8,18.6
01M064,P.S. 064 ROBERT SIMON,3,2015,All Students,40,294,14,35,18,45,8,20,0,0,8,20
01M064,P.S. 064 ROBERT SIMON,4,2013,All Students,41,278,24,58.5,15,36.6,2,4.9,0,0,2,4.9
01M064,P.S. 064 ROBERT SIMON,4,2014,All Students,32,284,15,46.9,13,40.6,4,12.5,0,0,4,12.5
01M064,P.S. 064 ROBERT SIMON,4,2015,All Students,40,293,13,32.5,21,52.5,6,15,0,0,6,15
01M064,P.S. 064 ROBERT SIMON,5,2013,All Students,39,296,15,38.5,16,41,7,17.9,1,2.6,8,20.5
01M064,P.S. 064 ROBERT SIMON,5,2014,All Students,37,289,17,45.9,14,37.8,6,16.2,0,0,6,16.2
01M064,P.S. 064 ROBERT SIMON,5,2015,All Students,37,285,19,51.4,16,43.2,2,5.4,0,0,2,5.4
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,All Students,110,287,56,50.9,41,37.3,12,10.9,1,0.9,13,11.8
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,All Students,112,288,53,47.3,41,36.6,18,16.1,0,0,18,16.1
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,All Students,117,291,46,39.3,55,47,16,13.7,0,0,16,13.7
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2013,All Students,54,313,13,24.1,11,20.4,23,42.6,7,13,30,55.6
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2014,All Students,69,308,23,33.3,12,17.4,32,46.4,2,2.9,34,49.3
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2015,All Students,49,304,18,36.7,9,18.4,16,32.7,6,12.2,22,44.9
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2013,All Students,48,313,9,18.8,12,25,18,37.5,9,18.8,27,56.3
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2014,All Students,53,307,11,20.8,21,39.6,15,28.3,6,11.3,21,39.6
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2015,All Students,64,309,14,21.9,23,35.9,13,20.3,14,21.9,27,42.2
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2013,All Students,65,313,12,18.5,26,40,15,23.1,12,18.5,27,41.5
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2014,All Students,45,304,14,31.1,13,28.9,8,17.8,10,22.2,18,40
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2015,All Students,54,312,16,29.6,12,22.2,15,27.8,11,20.4,26,48.1
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,All Students,167,313,34,20.4,49,29.3,56,33.5,28,16.8,84,50.3
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,All Students,167,306,48,28.7,46,27.5,55,32.9,18,10.8,73,43.7
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2015,All Students,167,308,48,28.7,44,26.3,44,26.3,31,18.6,75,44.9
01M134,P.S. 134 HENRIETTA SZOLD,3,2013,All Students,50,292,20,40,25,50,5,10,0,0,5,10
01M134,P.S. 134 HENRIETTA SZOLD,3,2014,All Students,44,293,18,40.9,17,38.6,9,20.5,0,0,9,20.5
01M134,P.S. 134 HENRIETTA SZOLD,3,2015,All Students,43,281,19,44.2,16,37.2,7,16.3,1,2.3,8,18.6
01M134,P.S. 134 HENRIETTA SZOLD,4,2013,All Students,59,289,25,42.4,26,44.1,7,11.9,1,1.7,8,13.6
01M134,P.S. 134 HENRIETTA SZOLD,4,2014,All Students,42,292,14,33.3,23,54.8,5,11.9,0,0,5,11.9
01M134,P.S. 134 HENRIETTA SZOLD,4,2015,All Students,35,287,13,37.1,16,45.7,6,17.1,0,0,6,17.1
01M134,P.S. 134 HENRIETTA SZOLD,5,2013,All Students,38,290,18,47.4,17,44.7,3,7.9,0,0,3,7.9
01M134,P.S. 134 HENRIETTA SZOLD,5,2014,All Students,52,291,18,34.6,29,55.8,4,7.7,1,1.9,5,9.6
01M134,P.S. 134 HENRIETTA SZOLD,5,2015,All Students,39,297,14,35.9,19,48.7,5,12.8,1,2.6,6,15.4
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2013,All Students,147,290,63,42.9,68,46.3,15,10.2,1,0.7,16,10.9
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2014,All Students,138,292,50,36.2,69,50,18,13,1,0.7,19,13.8
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2015,All Students,117,288,46,39.3,51,43.6,18,15.4,2,1.7,20,17.1
01M137,P.S. 137 JOHN L. BERNSTEIN,3,2013,All Students,25,274,17,68,5,20,3,12,0,0,3,12
01M137,P.S. 137 JOHN L. BERNSTEIN,3,2014,All Students,35,262,26,74.3,9,25.7,0,0,0,0,0,0
01M137,P.S. 137 JOHN L. BERNSTEIN,3,2015,All Students,26,278,12,46.2,10,38.5,4,15.4,0,0,4,15.4
01M137,P.S. 137 JOHN L. BERNSTEIN,4,2013,All Students,24,280,11,45.8,11,45.8,2,8.3,0,0,2,8.3
01M137,P.S. 137 JOHN L. BERNSTEIN,4,2014,All Students,21,286,10,47.6,9,42.9,2,9.5,0,0,2,9.5
01M137,P.S. 137 JOHN L. BERNSTEIN,4,2015,All Students,35,264,23,65.7,9,25.7,3,8.6,0,0,3,8.6
01M137,P.S. 137 JOHN L. BERNSTEIN,5,2013,All Students,23,276,15,65.2,8,34.8,0,0,0,0,0,0
01M137,P.S. 137 JOHN L. BERNSTEIN,5,2014,All Students,24,276,16,66.7,6,25,1,4.2,1,4.2,2,8.3
01M137,P.S. 137 JOHN L. BERNSTEIN,5,2015,All Students,23,286,12,52.2,6,26.1,4,17.4,1,4.3,5,21.7
01M137,P.S. 137 JOHN L. BERNSTEIN,All Grades,2013,All Students,72,276,43,59.7,24,33.3,5,6.9,0,0,5,6.9
01M137,P.S. 137 JOHN L. BERNSTEIN,All Grades,2014,All Students,80,273,52,65,24,30,3,3.8,1,1.3,4,5
01M137,P.S. 137 JOHN L. BERNSTEIN,All Grades,2015,All Students,84,274,47,56,25,29.8,11,13.1,1,1.2,12,14.3
01M140,P.S. 140 NATHAN STRAUS,3,2013,All Students,31,289,17,54.8,12,38.7,2,6.5,0,0,2,6.5
01M140,P.S. 140 NATHAN STRAUS,3,2014,All Students,27,264,19,70.4,8,29.6,0,0,0,0,0,0
01M140,P.S. 140 NATHAN STRAUS,3,2015,All Students,27,282,16,59.3,7,25.9,4,14.8,0,0,4,14.8
01M140,P.S. 140 NATHAN STRAUS,4,2013,All Students,24,286,12,50,10,41.7,1,4.2,1,4.2,2,8.3
01M140,P.S. 140 NATHAN STRAUS,4,2014,All Students,31,292,9,29,20,64.5,2,6.5,0,0,2,6.5
01M140,P.S. 140 NATHAN STRAUS,4,2015,All Students,24,270,15,62.5,8,33.3,1,4.2,0,0,1,4.2
01M140,P.S. 140 NATHAN STRAUS,5,2013,All Students,25,281,16,64,9,36,0,0,0,0,0,0
01M140,P.S. 140 NATHAN STRAUS,5,2014,All Students,24,276,14,58.3,9,37.5,1,4.2,0,0,1,4.2
01M140,P.S. 140 NATHAN STRAUS,5,2015,All Students,25,283,13,52,11,44,0,0,1,4,1,4
01M140,P.S. 140 NATHAN STRAUS,6,2013,All Students,58,284,24,41.4,29,50,5,8.6,0,0,5,8.6
01M140,P.S. 140 NATHAN STRAUS,6,2014,All Students,57,284,24,42.1,28,49.1,2,3.5,3,5.3,5,8.8
01M140,P.S. 140 NATHAN STRAUS,6,2015,All Students,48,280,27,56.3,17,35.4,3,6.3,1,2.1,4,8.3
01M140,P.S. 140 NATHAN STRAUS,7,2013,All Students,63,279,38,60.3,22,34.9,2,3.2,1,1.6,3,4.8
01M140,P.S. 140 NATHAN STRAUS,7,2014,All Students,55,292,18,32.7,24,43.6,13,23.6,0,0,13,23.6
01M140,P.S. 140 NATHAN STRAUS,7,2015,All Students,54,287,24,44.4,21,38.9,9,16.7,0,0,9,16.7
01M140,P.S. 140 NATHAN STRAUS,8,2013,All Students,52,280,29,55.8,16,30.8,6,11.5,1,1.9,7,13.5
01M140,P.S. 140 NATHAN STRAUS,8,2014,All Students,61,286,26,42.6,30,49.2,4,6.6,1,1.6,5,8.2
01M140,P.S. 140 NATHAN STRAUS,8,2015,All Students,58,291,17,29.3,27,46.6,12,20.7,2,3.4,14,24.1
01M140,P.S. 140 NATHAN STRAUS,All Grades,2013,All Students,253,282,136,53.8,98,38.7,16,6.3,3,1.2,19,7.5
01M140,P.S. 140 NATHAN STRAUS,All Grades,2014,All Students,255,284,110,43.1,119,46.7,22,8.6,4,1.6,26,10.2
01M140,P.S. 140 NATHAN STRAUS,All Grades,2015,All Students,236,284,112,47.5,91,38.6,29,12.3,4,1.7,33,14
01M142,P.S. 142 AMALIA CASTRO,3,2013,All Students,59,291,27,45.8,20,33.9,12,20.3,0,0,12,20.3
01M142,P.S. 142 AMALIA CASTRO,3,2014,All Students,47,278,28,59.6,17,36.2,2,4.3,0,0,2,4.3
01M142,P.S. 142 AMALIA CASTRO,3,2015,All Students,61,284,34,55.7,18,29.5,9,14.8,0,0,9,14.8
01M142,P.S. 142 AMALIA CASTRO,4,2013,All Students,54,292,21,38.9,25,46.3,8,14.8,0,0,8,14.8
01M142,P.S. 142 AMALIA CASTRO,4,2014,All Students,57,292,24,42.1,22,38.6,8,14,3,5.3,11,19.3
01M142,P.S. 142 AMALIA CASTRO,4,2015,All Students,46,284,17,37,26,56.5,3,6.5,0,0,3,6.5
01M142,P.S. 142 AMALIA CASTRO,5,2013,All Students,54,288,29,53.7,21,38.9,3,5.6,1,1.9,4,7.4
01M142,P.S. 142 AMALIA CASTRO,5,2014,All Students,49,284,25,51,21,42.9,3,6.1,0,0,3,6.1
01M142,P.S. 142 AMALIA CASTRO,5,2015,All Students,56,284,27,48.2,24,42.9,5,8.9,0,0,5,8.9
01M142,P.S. 142 AMALIA CASTRO,All Grades,2013,All Students,167,290,77,46.1,66,39.5,23,13.8,1,0.6,24,14.4
01M142,P.S. 142 AMALIA CASTRO,All Grades,2014,All Students,153,285,77,50.3,60,39.2,13,8.5,3,2,16,10.5
01M142,P.S. 142 AMALIA CASTRO,All Grades,2015,All Students,163,284,78,47.9,68,41.7,17,10.4,0,0,17,10.4
01M184,P.S. 184M SHUANG WEN,3,2013,All Students,81,316,12,14.8,29,35.8,35,43.2,5,6.2,40,49.4
01M184,P.S. 184M SHUANG WEN,3,2014,All Students,72,321,10,13.9,17,23.6,39,54.2,6,8.3,45,62.5
01M184,P.S. 184M SHUANG WEN,3,2015,All Students,68,313,14,20.6,22,32.4,26,38.2,6,8.8,32,47.1
01M184,P.S. 184M SHUANG WEN,4,2013,All Students,70,324,4,5.7,22,31.4,28,40,16,22.9,44,62.9
01M184,P.S. 184M SHUANG WEN,4,2014,All Students,84,326,8,9.5,21,25,29,34.5,26,31,55,65.5
01M184,P.S. 184M SHUANG WEN,4,2015,All Students,65,325,4,6.2,19,29.2,22,33.8,20,30.8,42,64.6
01M184,P.S. 184M SHUANG WEN,5,2013,All Students,56,331,4,7.1,12,21.4,24,42.9,16,28.6,40,71.4
01M184,P.S. 184M SHUANG WEN,5,2014,All Students,62,319,5,8.1,20,32.3,28,45.2,9,14.5,37,59.7
01M184,P.S. 184M SHUANG WEN,5,2015,All Students,74,333,3,4.1,19,25.7,23,31.1,29,39.2,52,70.3
01M184,P.S. 184M SHUANG WEN,6,2013,All Students,57,334,0,0,12,21.1,19,33.3,26,45.6,45,78.9
01M184,P.S. 184M SHUANG WEN,6,2014,All Students,38,330,1,2.6,10,26.3,8,21.1,19,50,27,71.1
01M184,P.S. 184M SHUANG WEN,6,2015,All Students,60,330,2,3.3,15,25,16,26.7,27,45,43,71.7
01M184,P.S. 184M SHUANG WEN,7,2013,All Students,59,329,1,1.7,15,25.4,32,54.2,11,18.6,43,72.9
01M184,P.S. 184M SHUANG WEN,7,2014,All Students,59,336,1,1.7,5,8.5,35,59.3,18,30.5,53,89.8
01M184,P.S. 184M SHUANG WEN,7,2015,All Students,36,323,4,11.1,6,16.7,19,52.8,7,19.4,26,72.2
01M184,P.S. 184M SHUANG WEN,8,2013,All Students,52,334,1,1.9,11,21.2,20,38.5,20,38.5,40,76.9
01M184,P.S. 184M SHUANG WEN,8,2014,All Students,59,333,2,3.4,11,18.6,28,47.5,18,30.5,46,78
01M184,P.S. 184M SHUANG WEN,8,2015,All Students,56,338,0,0,6,10.7,30,53.6,20,35.7,50,89.3
01M184,P.S. 184M SHUANG WEN,All Grades,2013,All Students,375,327,22,5.9,101,26.9,158,42.1,94,25.1,252,67.2
01M184,P.S. 184M SHUANG WEN,All Grades,2014,All Students,374,327,27,7.2,84,22.5,167,44.7,96,25.7,263,70.3
01M184,P.S. 184M SHUANG WEN,All Grades,2015,All Students,359,327,27,7.5,87,24.2,136,37.9,109,30.4,245,68.2
01M188,P.S. 188 THE ISLAND SCHOOL,3,2013,All Students,45,280,27,60,17,37.8,1,2.2,0,0,1,2.2
01M188,P.S. 188 THE ISLAND SCHOOL,3,2014,All Students,48,284,26,54.2,15,31.3,6,12.5,1,2.1,7,14.6
01M188,P.S. 188 THE ISLAND SCHOOL,3,2015,All Students,39,278,22,56.4,12,30.8,5,12.8,0,0,5,12.8
01M188,P.S. 188 THE ISLAND SCHOOL,4,2013,All Students,39,286,14,35.9,23,59,2,5.1,0,0,2,5.1
01M188,P.S. 188 THE ISLAND SCHOOL,4,2014,All Students,46,282,22,47.8,22,47.8,2,4.3,0,0,2,4.3
01M188,P.S. 188 THE ISLAND SCHOOL,4,2015,All Students,48,279,32,66.7,12,25,3,6.3,1,2.1,4,8.3
01M188,P.S. 188 THE ISLAND SCHOOL,5,2013,All Students,33,275,24,72.7,8,24.2,1,3,0,0,1,3
01M188,P.S. 188 THE ISLAND SCHOOL,5,2014,All Students,44,273,28,63.6,12,27.3,4,9.1,0,0,4,9.1
01M188,P.S. 188 THE ISLAND SCHOOL,5,2015,All Students,48,278,26,54.2,17,35.4,5,10.4,0,0,5,10.4
01M188,P.S. 188 THE ISLAND SCHOOL,6,2013,All Students,60,273,30,50,26,43.3,2,3.3,2,3.3,4,6.7
01M188,P.S. 188 THE ISLAND SCHOOL,6,2014,All Students,43,280,23,53.5,20,46.5,0,0,0,0,0,0
01M188,P.S. 188 THE ISLAND SCHOOL,6,2015,All Students,50,279,29,58,17,34,2,4,2,4,4,8
01M188,P.S. 188 THE ISLAND SCHOOL,7,2013,All Students,63,281,37,58.7,23,36.5,2,3.2,1,1.6,3,4.8
01M188,P.S. 188 THE ISLAND SCHOOL,7,2014,All Students,65,275,38,58.5,21,32.3,6,9.2,0,0,6,9.2
01M188,P.S. 188 THE ISLAND SCHOOL,7,2015,All Students,54,282,31,57.4,20,37,3,5.6,0,0,3,5.6
01M188,P.S. 188 THE ISLAND SCHOOL,8,2013,All Students,59,280,27,45.8,24,40.7,7,11.9,1,1.7,8,13.6
01M188,P.S. 188 THE ISLAND SCHOOL,8,2014,All Students,56,296,12,21.4,35,62.5,7,12.5,2,3.6,9,16.1
01M188,P.S. 188 THE ISLAND SCHOOL,8,2015,All Students,61,284,28,45.9,24,39.3,9,14.8,0,0,9,14.8
01M188,P.S. 188 THE ISLAND SCHOOL,All Grades,2013,All Students,299,279,159,53.2,121,40.5,15,5,4,1.3,19,6.4
01M188,P.S. 188 THE ISLAND SCHOOL,All Grades,2014,All Students,302,282,149,49.3,125,41.4,25,8.3,3,1,28,9.3
01M188,P.S. 188 THE ISLAND SCHOOL,All Grades,2015,All Students,300,280,168,56,102,34,27,9,3,1,30,10
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2013,All Students,18,265,12,66.7,5,27.8,1,5.6,0,0,1,5.6
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2014,All Students,13,269,9,69.2,4,30.8,0,0,0,0,0,0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2015,All Students,12,267,8,66.7,4,33.3,0,0,0,0,0,0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2013,All Students,27,258,23,85.2,3,11.1,1,3.7,0,0,1,3.7
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2014,All Students,18,259,14,77.8,4,22.2,0,0,0,0,0,0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2015,All Students,11,265,7,63.6,4,36.4,0,0,0,0,0,0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2013,All Students,26,245,24,92.3,2,7.7,0,0,0,0,0,0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2014,All Students,28,266,21,75,5,17.9,2,7.1,0,0,2,7.1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2015,All Students,13,273,6,46.2,6,46.2,1,7.7,0,0,1,7.7
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2013,All Students,71,255,59,83.1,10,14.1,2,2.8,0,0,2,2.8
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2014,All Students,59,264,44,74.6,13,22,2,3.4,0,0,2,3.4
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,All Grades,2015,All Students,36,268,21,58.3,14,38.9,1,2.8,0,0,1,2.8
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2013,All Students,46,281,23,50,20,43.5,2,4.3,1,2.2,3,6.5
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2014,All Students,42,289,13,31,26,61.9,2,4.8,1,2.4,3,7.1
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2015,All Students,45,291,12,26.7,26,57.8,5,11.1,2,4.4,7,15.6
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2013,All Students,56,284,27,48.2,27,48.2,2,3.6,0,0,2,3.6
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2014,All Students,46,273,28,60.9,15,32.6,3,6.5,0,0,3,6.5
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2015,All Students,44,286,18,40.9,22,50,4,9.1,0,0,4,9.1
